address,company,jname,jtxt,mount,salary
,安徽省萝卜呗呗童装,客服,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘5人,3K-5K
(池州市站前区白沙小区),池州宏腾汽车销售有限公司,销售代表,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘3人,2K-10K
(池州市站前区白沙小区),池州宏腾汽车销售有限公司,会计,学历不限 / 经验不限 / 性别不限 / 22～45岁,招聘1人,2K-4K
(安徽省池州市青阳县经济开发区),安徽柯力电气制造有限公司,财务经理,大专 / 经验3年以上 / 性别不限 / 年龄不限,招聘1人,薪资面议
,池州市华奥汽车销售服务有限公司,销售顾问,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘4人,面议
(池州市贵池区前江工业园纬一路（牛头山镇）),池州汇德再生资源综合利用有限公司,操作工,初中 / 经验3年以上 / 性别男 / 20～50岁,招聘若干人,面议
(同晖广场拉菲公馆2408室),池州山立分子筛有限公司,普通操作工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘6人,3K-5K
(池州市贵池区前江工业园纬一路（牛头山镇）),池州汇德再生资源综合利用有限公司,主办会计,大专 / 经验5年以上 / 性别男 / 35～50岁,招聘1人,4K-5K
(梅里工业园（老厂）池州开发区（新厂）),池州德特机电设备有限公司,行政专员,高中 / 经验3年以上 / 性别女 / 25～35岁,招聘1人,2K-3K
(池州市甲地国际商贸城风情街1号楼4楼),尚好大药房连锁有限公司,门店营业员,高中 / 经验不限 / 性别不限 / 年龄不限,招聘5人,2K-3K
(池州市甲地国际商贸城风情街1号楼4楼),尚好大药房连锁有限公司,营业员(中药学专业),高中 / 经验2年以上 / 性别女 / 25～45岁,招聘6人,面议
,安徽省萝卜呗呗童装,高薪诚聘美工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,4K-6K
,安徽省萝卜呗呗童装,缝纫机机修,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,3K-4K
