"池州市,池州市",安徽丰林木业有限公司,机修,中专 / 经验2年以上 / 性别不限 / 25～36岁,招聘3人,面议
池州市贵池区,龙美美容中心,美容师学徒,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘10人,2K-3K
池州市,池州市银龙矿业有限公司,货运驾驶员,初中 / 经验5年以上 / 性别男 / 25～55岁,招聘若干人,面议
池州市,安徽丰林木业有限公司,操作工,高中 / 经验2年以上 / 性别不限 / 18岁以上,招聘5人,面议
池州市,池州市银龙矿业有限公司,设备（车辆）修理技师,学历不限 / 经验3年以上 / 性别男 / 年龄不限,招聘2人,面议
池州市,尚好大药房连锁有限公司,营业员(中药学专业),高中 / 经验2年以上 / 性别女 / 25～45岁,招聘6人,面议
池州市,安徽天马农业发展有限公司,驾驶员,大专 / 经验5年以上 / 性别男 / 50岁以下,招聘1人,5K-6K
"合肥市,池州市",安徽成文财务管理咨询有限公司,审计项目经理,大专 / 经验3年以上 / 性别不限 / 年龄不限,招聘3人,面议
池州市贵池区,头道汤养生坊,头疗师,学历不限 / 经验不限 / 性别不限 / 18～40岁,招聘20人,5K-10K
池州市贵池区,龙美美容中心,美体师,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘6人,4K-6K
池州市贵池区,平安人寿池州中支,助理,大专 / 经验不限 / 性别不限 / 20～50岁,招聘5人,薪资面议
池州市贵池区,龙美美容中心,美容师,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘8人,3K-8K
池州市,池州市银龙矿业有限公司,氧化钙销售,大专 / 经验3年以上 / 性别不限 / 50岁以下,招聘1人,面议
池州市贵池区,哈尼宝贝母婴店,诚聘商品店店员+待遇好,学历不限 / 经验不限 / 性别女 / 23～43岁,招聘10人,2K-4K
池州市贵池区,安徽丰林木业有限公司,销售内勤,高中 / 经验不限 / 性别不限 / 18～40岁,招聘1人,薪资面议
池州市贵池区,东方童画,.美术老师,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘4人,薪资面议
池州市贵池区,头道汤养生坊,顾问,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘4人,5K-10K
池州市贵池区,东方童画,销售顾问,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,薪资面议
池州市,池州市拉钩供应链管理有限公司,快递员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘10人,3K-7K
池州市贵池区,哈尼宝贝母婴店,品牌推广,学历不限 / 经验不限 / 性别女 / 年龄不限,招聘10人,3K-6K
池州市贵池区,池州市广原餐饮服务有限公司,商务中心主管,大专 / 经验1年以上 / 性别男 / 24岁以上,招聘1人,薪资面议
池州市贵池区,池州市广原餐饮服务有限公司,营销经理,学历不限 / 经验2年以上 / 性别女 / 25～35岁,招聘5人,薪资面议
池州市,池州蓝威科技发展有限公司,仓库管理员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,薪资面议
池州市,池州市拉钩供应链管理有限公司,分拣工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,2K-5K
池州市贵池区,池州市广原餐饮服务有限公司,服务员,学历不限 / 经验不限 / 性别女 / 年龄不限,招聘若干人,2K-2K
池州市,池州蓝威科技发展有限公司,复印、打印设备维修员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘3人,薪资面议
池州市贵池区,哈尼宝贝母婴店,小儿游泳馆前台+福利好,学历不限 / 经验不限 / 性别女 / 25～45岁,招聘3人,3K-6K
池州市贵池区,水性科天,设计师,学历不限 / 经验不限 / 性别不限 / 18～50岁,招聘4人,3K-8K
池州市贵池区,哈尼宝贝母婴店,高薪聘婴儿游泳馆游泳技师,学历不限 / 经验不限 / 性别女 / 25～45岁,招聘5人,3K-6K
